epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3188.85,1.04907,1.37126,1.3631,0.69475,0.4378,0.49006,0.32279,1.25057,1.6525,1.60349,0.0005941,0.0005941,0.0005941
43,3264.24,1.06051,1.42505,1.38847,0.56737,0.46382,0.48605,0.31293,1.27661,1.64494,1.63677,0.0005842,0.0005842,0.0005842
44,3339.47,1.0474,1.36966,1.3576,0.64394,0.42986,0.49843,0.32458,1.24717,1.61601,1.6323,0.0005743,0.0005743,0.0005743
45,3414.49,1.05356,1.35722,1.37208,0.62711,0.45673,0.50283,0.33367,1.25573,1.61376,1.61831,0.0005644,0.0005644,0.0005644
46,3491.53,1.04683,1.3664,1.36325,0.65271,0.43898,0.51472,0.33516,1.24036,1.61364,1.60798,0.0005545,0.0005545,0.0005545
47,3567.61,1.03621,1.34101,1.36308,0.65511,0.45061,0.50286,0.33104,1.27421,1.62798,1.63229,0.0005446,0.0005446,0.0005446
48,3642.87,1.01999,1.31219,1.34738,0.66121,0.47371,0.51695,0.34089,1.23982,1.56569,1.59462,0.0005347,0.0005347,0.0005347
49,3718.61,1.01078,1.2623,1.32928,0.61675,0.45107,0.51815,0.34916,1.21793,1.58179,1.58924,0.0005248,0.0005248,0.0005248
50,3795.01,1.02364,1.28091,1.33936,0.64492,0.44207,0.5047,0.33007,1.25334,1.57388,1.61714,0.0005149,0.0005149,0.0005149
51,3868.8,1.00305,1.25486,1.33776,0.63345,0.48106,0.53082,0.33945,1.27368,1.56835,1.63745,0.000505,0.000505,0.000505
52,3944.34,1.0058,1.24424,1.33241,0.64962,0.47119,0.51713,0.33485,1.26668,1.55967,1.62874,0.0004951,0.0004951,0.0004951
53,4019.85,0.9891,1.24802,1.3225,0.60835,0.49117,0.50871,0.32996,1.24278,1.54209,1.60318,0.0004852,0.0004852,0.0004852
54,4095.62,1.00412,1.22296,1.3297,0.62785,0.48986,0.54634,0.36341,1.24295,1.55895,1.60559,0.0004753,0.0004753,0.0004753
55,4171.18,1.00821,1.21453,1.33422,0.67254,0.44115,0.50998,0.34004,1.24743,1.54895,1.61788,0.0004654,0.0004654,0.0004654
56,4244.67,0.98726,1.2176,1.3264,0.67674,0.45333,0.52369,0.34367,1.25144,1.47265,1.61926,0.0004555,0.0004555,0.0004555
57,4318.94,0.97804,1.18081,1.31567,0.67028,0.46048,0.52174,0.34315,1.2495,1.54983,1.61579,0.0004456,0.0004456,0.0004456
58,4392.27,0.9834,1.17289,1.31654,0.58486,0.46598,0.51946,0.34285,1.2591,1.51102,1.63206,0.0004357,0.0004357,0.0004357
59,4465.81,0.96643,1.16912,1.29694,0.59784,0.49382,0.52676,0.34508,1.25437,1.57692,1.62296,0.0004258,0.0004258,0.0004258
60,4539,0.95874,1.14252,1.29145,0.61616,0.50905,0.53789,0.35622,1.23249,1.50676,1.59516,0.0004159,0.0004159,0.0004159
61,4612.62,0.94953,1.10869,1.28621,0.56097,0.4994,0.51418,0.34345,1.24175,1.5928,1.63946,0.000406,0.000406,0.000406
62,4684.12,0.94744,1.09567,1.28525,0.63897,0.50071,0.55796,0.37094,1.22328,1.46981,1.6098,0.0003961,0.0003961,0.0003961
63,4758.19,0.93018,1.0828,1.27178,0.66145,0.50346,0.54611,0.36584,1.22265,1.4989,1.60001,0.0003862,0.0003862,0.0003862
64,4831.94,0.93466,1.05698,1.27005,0.58041,0.53079,0.55244,0.36966,1.21647,1.47988,1.58657,0.0003763,0.0003763,0.0003763
65,4909.34,0.92574,1.06699,1.27702,0.59847,0.51618,0.53419,0.35707,1.22706,1.52635,1.59207,0.0003664,0.0003664,0.0003664
66,4985.35,0.93356,1.06267,1.28734,0.61277,0.50079,0.53566,0.36154,1.23706,1.49707,1.60716,0.0003565,0.0003565,0.0003565
67,5060.66,0.92754,1.03545,1.26908,0.61522,0.50302,0.53488,0.35899,1.23292,1.49821,1.59814,0.0003466,0.0003466,0.0003466
68,5136.35,0.92739,1.01667,1.26466,0.54671,0.55849,0.55481,0.37454,1.21883,1.44721,1.60012,0.0003367,0.0003367,0.0003367
69,5213.4,0.90662,1.01778,1.25713,0.66512,0.48104,0.54694,0.36745,1.21389,1.4583,1.59679,0.0003268,0.0003268,0.0003268
70,5286.64,0.9177,1.02542,1.26444,0.55179,0.5642,0.53546,0.35778,1.21887,1.49623,1.60493,0.0003169,0.0003169,0.0003169
71,5362.47,0.89675,0.98207,1.24945,0.64093,0.5526,0.55567,0.37239,1.21671,1.43156,1.5991,0.000307,0.000307,0.000307
72,5439.65,0.90658,0.97007,1.24669,0.60106,0.54212,0.55122,0.37274,1.20998,1.45462,1.57518,0.0002971,0.0002971,0.0002971
73,5514.07,0.88749,0.96015,1.24396,0.61163,0.51986,0.54818,0.36517,1.23725,1.51342,1.61719,0.0002872,0.0002872,0.0002872
74,5587.46,0.89203,0.95173,1.24909,0.57687,0.5489,0.55508,0.37329,1.22355,1.49562,1.60547,0.0002773,0.0002773,0.0002773
75,5660.31,0.87894,0.92299,1.23981,0.58704,0.5415,0.54611,0.37596,1.20479,1.4867,1.57681,0.0002674,0.0002674,0.0002674
76,5735.46,0.86358,0.92111,1.22129,0.59211,0.55981,0.54204,0.36726,1.20419,1.46032,1.57779,0.0002575,0.0002575,0.0002575
77,5808.48,0.88109,0.92694,1.23002,0.64761,0.50194,0.56243,0.3789,1.20887,1.50128,1.57869,0.0002476,0.0002476,0.0002476
78,5883.24,0.87532,0.91412,1.22439,0.68617,0.51037,0.55496,0.3715,1.19828,1.48222,1.58173,0.0002377,0.0002377,0.0002377
79,5956.03,0.85223,0.88697,1.22184,0.59209,0.55994,0.57012,0.38502,1.20308,1.46154,1.57548,0.0002278,0.0002278,0.0002278
80,6030.98,0.84705,0.8823,1.21315,0.5793,0.51706,0.55248,0.3773,1.20767,1.47831,1.59379,0.0002179,0.0002179,0.0002179
81,6105.38,0.84744,0.87786,1.21705,0.62215,0.53543,0.55907,0.37347,1.21321,1.46807,1.59611,0.000208,0.000208,0.000208
82,6178.31,0.84187,0.8773,1.20901,0.58357,0.5547,0.56001,0.37909,1.21418,1.45137,1.59852,0.0001981,0.0001981,0.0001981
83,6250.51,0.82646,0.84465,1.20249,0.63115,0.52852,0.56151,0.37984,1.20936,1.4267,1.59658,0.0001882,0.0001882,0.0001882
84,6323.17,0.84026,0.86404,1.20926,0.60436,0.56821,0.58369,0.38833,1.19764,1.45359,1.5843,0.0001783,0.0001783,0.0001783
85,6397.63,0.83439,0.84644,1.20191,0.67335,0.51021,0.56446,0.38224,1.19256,1.42811,1.57854,0.0001684,0.0001684,0.0001684
86,6470.63,0.81836,0.82427,1.18939,0.60323,0.56251,0.5725,0.38491,1.19648,1.42679,1.58627,0.0001585,0.0001585,0.0001585
87,6545.82,0.83152,0.83462,1.20139,0.60477,0.5773,0.57173,0.38592,1.21048,1.4427,1.59539,0.0001486,0.0001486,0.0001486
88,6621.5,0.82316,0.81549,1.19467,0.69238,0.49087,0.57166,0.38842,1.20865,1.43531,1.59068,0.0001387,0.0001387,0.0001387
89,6695.14,0.79355,0.79705,1.17825,0.5867,0.55642,0.55704,0.37824,1.20453,1.46079,1.59661,0.0001288,0.0001288,0.0001288
90,6767.94,0.80603,0.79448,1.18503,0.62954,0.53408,0.5698,0.39282,1.19345,1.4442,1.58817,0.0001189,0.0001189,0.0001189
91,6841.97,0.69313,0.63498,1.13395,0.56718,0.54918,0.54332,0.37673,1.20641,1.47968,1.60162,0.000109,0.000109,0.000109
92,6910.64,0.68628,0.60292,1.12213,0.63307,0.48395,0.54738,0.37885,1.19526,1.43864,1.58604,9.91e-05,9.91e-05,9.91e-05
93,6980.71,0.669,0.57083,1.10446,0.57793,0.54826,0.55833,0.38163,1.20196,1.44153,1.59611,8.92e-05,8.92e-05,8.92e-05
94,7050.38,0.65987,0.5735,1.09334,0.65061,0.5118,0.5647,0.3901,1.19124,1.46841,1.60188,7.93e-05,7.93e-05,7.93e-05
95,7119.54,0.65628,0.55458,1.10104,0.62469,0.50123,0.55407,0.38669,1.20033,1.47755,1.60636,6.94e-05,6.94e-05,6.94e-05
96,7191.87,0.64376,0.53528,1.09229,0.59385,0.52949,0.55476,0.3796,1.20034,1.48009,1.61169,5.95e-05,5.95e-05,5.95e-05
97,7264.58,0.637,0.54576,1.09215,0.62554,0.52584,0.56076,0.38344,1.2005,1.46295,1.61049,4.96e-05,4.96e-05,4.96e-05
98,7336.2,0.62892,0.51402,1.0741,0.59821,0.54172,0.55922,0.38474,1.19374,1.45686,1.60182,3.97e-05,3.97e-05,3.97e-05
99,7407.22,0.63188,0.52097,1.07875,0.62978,0.51239,0.56066,0.38558,1.19091,1.45777,1.60199,2.98e-05,2.98e-05,2.98e-05
100,7479.36,0.63153,0.52165,1.08549,0.55958,0.58236,0.5647,0.38682,1.19026,1.45715,1.60171,1.99e-05,1.99e-05,1.99e-05
